Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Kecepatan angin rata-rata (m/s),Label,season_Musim Hujan
2008-04-03,21.0,32.8,26.0,79.0,0.4,8.0,3.0,1.0,0,0
2008-04-04,22.0,31.4,26.0,82.0,0.0,6.1,4.0,1.0,0,0
2008-04-05,22.0,33.6,25.1,83.0,0.0,7.8,5.0,1.0,0,0
2008-04-06,22.0,32.4,24.9,87.0,6.8,6.0,4.0,1.0,0,0
2008-04-07,21.0,32.8,25.9,81.0,67.5,7.6,4.0,1.0,0,0
2008-04-08,21.0,31.8,25.7,85.0,34.5,6.3,2.0,2.0,0,0
2008-04-09,22.0,32.2,25.9,85.0,6.0,6.6,3.0,1.0,0,0
2008-04-10,22.0,32.3,25.0,89.0,5.0,5.4,3.0,1.0,0,0
2008-04-11,23.0,32.2,25.1,90.0,2.9,5.5,5.0,0.0,0,0
2008-04-12,22.0,28.0,23.9,94.0,51.0,0.5,2.0,1.0,1,0
2008-04-13,22.0,30.6,25.5,87.0,49.2,5.9,2.0,0.0,0,0
2008-04-14,23.0,30.4,24.6,90.0,0.0,2.6,2.0,0.0,0,0
2008-04-15,22.0,31.5,25.6,84.0,6.8,5.8,3.0,0.0,0,0
2008-04-16,23.0,31.0,25.3,89.0,41.7,2.3,5.0,1.0,0,0
2008-04-17,22.0,31.8,26.5,84.0,45.5,6.6,1.0,0.0,0,0
2008-04-18,23.0,32.2,25.4,88.0,0.0,5.8,5.0,0.0,0,0
2008-04-19,23.0,30.5,25.7,88.0,43.6,3.5,2.0,1.0,0,0
2008-04-20,22.0,31.2,25.4,86.0,0.0,3.6,4.0,0.0,0,0
2008-04-21,23.0,30.6,25.8,84.0,29.1,1.3,2.0,1.0,0,0
2008-04-22,23.0,28.2,25.5,92.0,7.9,1.2,0.0,1.0,0,0
2008-04-23,23.0,28.8,25.8,90.0,12.5,0.9,1.0,0.0,0,0
2008-04-24,22.0,30.0,24.7,90.0,0.2,3.8,2.0,0.0,0,0
2008-04-25,23.0,31.4,26.0,86.0,0.0,5.7,2.0,0.0,0,0
2008-04-26,23.0,31.7,26.3,84.0,0.0,6.3,1.0,1.0,0,0
2008-04-27,23.0,32.6,26.8,84.0,14.0,8.0,3.0,0.0,0,0
2008-04-28,23.0,32.7,27.1,82.0,0.0,6.8,2.0,0.0,0,0
2008-04-29,23.0,32.5,26.0,86.0,0.0,6.6,4.0,1.0,0,0
2008-04-30,23.0,32.4,25.3,89.0,48.4,7.1,2.0,1.0,0,0
2008-05-01,22.0,30.4,25.5,88.0,17.0,2.5,2.0,1.0,0,0
2008-05-02,23.0,31.3,26.3,82.0,0.0,4.8,1.0,0.0,0,0
2008-05-03,23.0,32.9,26.7,81.0,0.0,6.4,2.0,0.0,0,0
2008-05-04,24.0,32.6,26.2,87.0,1.5,6.0,5.0,1.0,0,0
2008-05-05,23.0,31.7,26.4,83.0,2.6,7.6,2.0,1.0,0,0
2008-05-06,23.0,32.1,26.5,83.0,0.0,3.0,2.0,1.0,0,0
2008-05-07,22.0,31.4,24.9,86.0,70.0,6.4,2.0,1.0,0,0
2008-05-08,22.0,32.2,25.8,83.0,0.0,7.2,4.0,1.0,0,0
2008-05-09,22.0,32.1,26.4,77.0,0.0,8.0,2.0,1.0,0,0
2008-05-10,22.0,31.7,25.7,82.0,0.0,6.7,3.0,1.0,0,0
2008-05-11,20.0,31.7,24.9,74.0,1.3,6.4,2.0,1.0,0,0
2008-05-12,20.0,31.9,24.9,74.0,0.0,7.1,2.0,1.0,0,0
