,Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Kecepatan angin rata-rata (m/s),Label,season_Musim Hujan
1532,2012-03-12,23.0,30.7,24.7,89.0,0.5,2.2,3.0,3.0,0,1
1533,2012-03-13,24.0,29.6,26.2,76.0,16.5,0.6,5.0,2.0,0,1
1534,2012-03-14,23.0,31.4,26.1,74.0,3.4,6.8,8.0,2.0,0,1
1535,2012-03-15,24.0,31.0,27.1,82.0,0.0,6.6,4.0,3.0,0,1
1536,2012-03-16,25.0,31.0,27.1,75.0,0.0,2.9,5.0,2.0,0,1
1537,2012-03-17,25.0,30.0,26.7,81.0,0.0,1.4,5.0,3.0,0,1
1538,2012-03-18,23.0,31.7,26.3,77.0,2.0,2.4,4.0,3.0,0,1
1539,2012-03-19,23.0,30.4,25.1,80.0,5.3,1.2,5.0,2.0,0,1
1540,2012-03-20,25.0,29.1,26.2,72.0,0.9,1.7,5.0,3.0,0,1
1541,2012-03-21,21.0,32.0,26.2,77.0,1.1,6.8,5.0,2.0,0,1
1542,2012-03-22,22.0,33.0,27.2,74.0,0.0,7.8,5.0,2.0,0,1
1543,2012-03-23,21.0,33.1,26.5,75.0,0.0,6.6,5.0,2.0,0,1
1544,2012-03-24,21.0,33.3,26.3,76.0,0.0,6.7,3.0,2.0,0,1
1545,2012-03-25,22.0,34.0,27.4,74.0,0.0,8.0,4.0,1.0,0,1
1546,2012-03-26,24.0,33.4,26.8,82.0,0.0,4.7,3.0,2.0,0,1
1547,2012-03-27,23.0,33.0,26.5,84.0,0.0,5.0,4.0,1.0,0,1
1548,2012-03-28,21.0,33.0,26.5,83.0,15.8,6.3,3.0,1.0,0,1
1549,2012-03-29,23.0,33.0,25.7,86.0,3.8,6.0,5.0,1.0,0,1
1550,2012-03-30,23.0,31.0,25.8,87.0,8.5,4.4,3.0,1.0,0,1
1551,2012-03-31,22.0,32.4,25.7,88.0,0.0,5.7,3.0,1.0,0,1
1552,2012-04-01,23.0,32.5,25.8,89.0,1.0,3.8,4.0,1.0,0,0
1553,2012-04-02,22.0,32.6,25.2,86.0,12.0,5.8,5.0,1.0,0,0
1554,2012-04-03,23.0,29.6,24.6,90.0,7.8,3.3,3.0,2.0,0,0
1555,2012-04-04,22.0,31.0,25.6,85.0,39.3,4.6,3.0,1.0,0,0
1556,2012-04-05,23.0,30.2,25.1,89.0,0.5,4.7,2.0,1.0,0,0
1557,2012-04-06,22.0,31.0,25.2,86.0,3.8,5.7,3.0,1.0,0,0
1558,2012-04-07,24.0,30.8,26.0,90.0,7.1,2.5,0.0,1.0,0,0
1559,2012-04-08,23.0,30.8,25.8,86.0,6.6,2.3,3.0,1.0,0,0
1560,2012-04-09,23.0,31.8,25.2,87.0,6.1,5.7,3.0,1.0,0,0
1561,2012-04-10,23.0,31.2,26.2,86.0,5.6,5.1,5.0,1.0,0,0
1562,2012-04-11,23.0,31.6,25.1,86.0,0.0,2.5,3.0,2.0,0,0
1563,2012-04-12,23.0,32.2,25.9,86.0,9.6,6.0,5.0,1.0,0,0
1564,2012-04-13,24.0,32.6,26.9,85.0,22.2,5.8,3.0,2.0,0,0
1565,2012-04-14,23.0,32.6,26.5,83.0,16.6,7.2,5.0,2.0,0,0
1566,2012-04-15,23.0,32.0,26.7,84.0,41.2,2.7,3.0,2.0,0,0
1567,2012-04-16,22.0,33.0,26.9,80.0,0.0,6.4,3.0,1.0,0,0
1568,2012-04-17,23.0,31.8,25.7,86.0,116.0,4.4,3.0,2.0,0,0
1569,2012-04-18,22.0,33.4,26.4,83.0,1.7,6.6,3.0,1.0,0,0
1570,2012-04-19,24.0,31.2,25.6,95.0,72.6,2.6,3.0,1.0,0,0
1571,2012-04-20,23.0,32.4,25.7,90.0,15.1,6.3,5.0,0.0,0,0
1572,2012-04-21,24.0,31.6,25.7,89.0,4.0,4.3,3.0,1.0,0,0
1573,2012-04-22,24.0,30.4,26.0,90.0,5.5,2.4,4.0,0.0,0,0
1574,2012-04-23,22.0,32.6,26.5,85.0,0.2,7.8,3.0,1.0,0,0
1575,2012-04-24,23.0,33.7,27.3,81.0,0.0,7.4,3.0,1.0,0,0
1576,2012-04-25,23.0,34.0,26.9,79.0,0.0,8.0,3.0,1.0,0,0
1577,2012-04-26,22.0,33.0,26.4,81.0,10.0,7.0,5.0,2.0,0,0
1578,2012-04-27,24.0,33.6,27.8,78.0,5.0,7.1,3.0,2.0,0,0
1579,2012-04-28,23.0,32.8,26.9,82.0,0.0,6.7,4.0,1.0,0,0
1580,2012-04-29,24.0,28.6,25.9,88.0,0.75,0.3,0.0,1.0,0,0
1581,2012-04-30,24.0,30.0,24.2,96.0,1.5,0.9,5.0,1.0,0,0
1582,2012-05-01,22.0,32.8,26.4,79.0,24.3,6.0,2.0,1.0,0,0
1583,2012-05-02,23.0,33.6,25.6,88.0,0.0,7.7,4.0,1.0,0,0
1584,2012-05-03,24.0,33.0,26.0,90.0,7.7,6.2,3.0,1.0,0,0
1585,2012-05-04,21.0,32.7,25.9,82.0,44.1,7.8,3.0,1.0,0,0
1586,2012-05-05,23.0,33.1,26.0,85.0,0.0,7.2,3.0,0.0,0,0
1587,2012-05-06,24.0,32.2,27.0,84.0,0.9,4.0,5.0,1.0,0,0
1588,2012-05-07,23.0,28.7,24.2,95.0,3.5,0.0,3.0,2.0,0,0
1589,2012-05-08,23.0,31.4,25.9,84.0,0.5,6.2,3.0,0.0,0,0
1590,2012-05-09,23.0,32.2,26.6,82.0,0.5,5.6,3.0,1.0,0,0
1591,2012-05-10,24.0,32.5,26.3,88.0,0.5,7.0,3.0,1.0,0,0
1592,2012-05-11,23.0,33.2,26.6,86.0,6.0,8.0,3.0,1.0,0,0
1593,2012-05-12,22.0,33.4,26.6,82.0,18.0,8.0,3.0,1.0,0,0
1594,2012-05-13,22.0,33.3,26.9,78.0,0.0,6.8,3.0,1.0,0,0
1595,2012-05-14,24.0,32.5,26.5,88.0,2.3,4.5,3.0,1.0,0,0
1596,2012-05-15,23.0,31.2,25.7,89.0,3.7,1.8,3.0,1.0,0,0
1597,2012-05-16,23.0,31.4,25.8,87.0,0.0,2.6,3.0,1.0,0,0
1598,2012-05-17,23.0,33.0,27.0,82.0,0.0,8.0,3.0,0.0,0,0
1599,2012-05-18,23.0,31.8,25.6,88.0,0.3,5.5,0.0,2.0,0,0
1600,2012-05-19,22.0,32.7,26.4,83.0,14.5,8.0,5.0,1.0,0,0
1601,2012-05-20,23.0,32.7,26.6,84.0,0.0,6.8,4.0,3.0,0,0
1602,2012-05-21,23.0,34.0,26.3,86.0,6.0,7.2,4.0,1.0,0,0
1603,2012-05-22,22.0,33.4,27.0,82.0,12.0,8.0,3.0,1.0,0,0
1604,2012-05-23,22.0,33.6,26.4,82.0,10.5,8.0,3.0,1.0,0,0
1605,2012-05-24,24.0,32.2,26.6,88.0,9.0,6.3,2.0,1.0,0,0
1606,2012-05-25,21.0,33.0,25.8,80.0,36.7,7.9,3.0,1.0,0,0
1607,2012-05-26,21.0,31.7,25.6,79.0,0.0,7.4,5.0,1.0,0,0
1608,2012-05-27,21.0,32.6,26.2,77.0,0.0,8.0,4.0,2.0,0,0
1609,2012-05-28,21.0,33.0,25.5,84.0,0.0,5.8,4.0,2.0,0,0
1610,2012-05-29,23.0,33.4,26.4,84.0,5.4,6.0,2.0,1.0,0,0
1611,2012-05-30,24.0,32.0,26.4,86.0,10.8,4.4,3.0,2.0,0,0
1612,2012-05-31,23.0,29.4,23.4,95.0,0.0,0.2,5.0,0.0,0,0
1613,2012-06-01,22.0,31.0,25.7,82.0,1.0,3.2,0.0,2.0,0,0
1614,2012-06-02,22.0,33.2,26.3,80.0,0.0,6.7,3.0,2.0,0,0
1615,2012-06-03,22.0,32.5,26.2,81.0,33.2,6.3,3.0,3.0,0,0
1616,2012-06-04,23.0,31.3,26.6,85.0,0.0,1.7,2.0,1.0,0,0
1617,2012-06-05,24.0,29.4,26.2,88.0,0.0,0.9,2.0,2.0,0,0
1618,2012-06-06,24.0,31.3,26.4,88.0,0.4,2.5,11.0,2.0,0,0
1619,2012-06-07,22.0,32.0,26.6,86.0,36.8,7.4,2.0,2.0,0,0
1620,2012-06-08,24.0,33.4,25.9,87.0,24.15,6.1,2.0,2.0,0,0
1621,2012-06-09,23.0,30.2,26.4,88.0,11.5,1.1,0.0,2.0,0,0
1622,2012-06-10,24.0,31.2,26.6,88.0,0.0,1.1,3.0,2.0,0,0
1623,2012-06-11,24.0,32.8,26.2,87.0,0.0,4.0,5.0,1.0,0,0
1624,2012-06-12,23.0,32.7,26.5,84.0,0.8,7.9,3.0,2.0,0,0
1625,2012-06-13,23.0,32.5,26.7,84.0,0.0,6.2,3.0,2.0,0,0
1626,2012-06-14,23.0,33.4,26.9,80.0,0.0,8.0,0.0,2.0,0,0
1627,2012-06-15,22.0,32.6,25.5,82.0,0.4,7.4,3.0,2.0,0,0
1628,2012-06-16,21.0,32.8,25.6,77.0,5.0,8.0,2.0,2.0,0,0
1629,2012-06-17,23.0,32.8,26.9,74.0,0.0,8.0,4.0,1.0,0,0
1630,2012-06-18,22.0,32.8,26.6,74.0,0.0,8.0,4.0,3.0,0,0
1631,2012-06-19,22.0,32.2,26.2,75.0,0.0,7.6,5.0,3.0,0,0
1632,2012-06-20,21.0,33.2,26.0,80.0,0.0,8.0,5.0,3.0,0,0
1633,2012-06-21,22.0,33.8,26.5,82.0,0.0,7.9,3.0,3.0,0,0
1634,2012-06-22,23.0,33.4,26.8,82.0,0.0,7.8,3.0,2.0,0,0
1635,2012-06-23,24.0,33.0,27.1,81.0,0.0,8.0,3.0,2.0,0,0
1636,2012-06-24,23.0,33.2,26.5,83.0,4.1,7.5,2.0,2.0,0,0
1637,2012-06-25,22.0,33.1,26.2,76.0,2.05,8.0,4.0,2.0,0,0
1638,2012-06-26,21.0,33.0,25.7,74.0,0.0,7.6,3.0,3.0,0,0
1639,2012-06-27,22.0,33.2,25.7,83.0,0.0,7.5,3.0,3.0,0,0
1640,2012-06-28,21.0,32.8,25.8,78.0,0.7,8.0,4.0,3.0,0,0
1641,2012-06-29,21.0,32.9,25.3,79.0,0.0,6.9,2.0,2.0,0,0
1642,2012-06-30,21.0,33.4,26.2,96.0,0.0,7.8,5.0,2.0,0,0
1643,2012-07-01,20.0,32.6,25.4,76.0,0.0,8.0,3.0,3.0,0,0
1644,2012-07-02,20.0,32.8,25.5,71.0,0.0,7.8,3.0,3.0,0,0
1645,2012-07-03,21.0,32.0,25.7,79.0,0.0,4.1,3.0,3.0,0,0
1646,2012-07-04,22.0,31.2,25.2,88.0,15.5,5.3,4.0,2.0,0,0
1647,2012-07-05,22.0,32.0,25.4,84.0,2.2,6.3,3.0,3.0,0,0
1648,2012-07-06,24.0,30.3,25.9,86.0,2.4,2.9,3.0,2.0,0,0
1649,2012-07-07,21.0,32.4,25.6,80.0,0.0,5.9,3.0,2.0,0,0
1650,2012-07-08,21.0,33.2,25.7,81.0,0.0,6.9,6.0,2.0,0,0
1651,2012-07-09,21.0,32.1,25.5,86.0,79.3,6.7,4.0,3.0,0,0
1652,2012-07-10,23.0,32.3,26.1,84.0,0.0,7.1,2.0,2.0,0,0
1653,2012-07-11,23.0,32.0,25.3,87.0,0.3,6.4,4.0,2.0,0,0
1654,2012-07-12,22.0,32.5,25.200000000000003,88.0,17.4,7.7,4.0,2.0,0,0
1655,2012-07-13,21.0,32.6,25.1,79.0,1.4,7.8,2.0,2.0,0,0
1656,2012-07-14,22.0,32.0,26.0,80.0,0.7,6.2,4.0,2.0,0,0
1657,2012-07-15,22.0,32.3,26.1,80.0,0.0,5.9,4.0,2.0,0,0
1658,2012-07-16,22.0,33.4,26.3,79.0,0.4,7.4,3.0,2.0,0,0
1659,2012-07-17,23.0,33.1,26.6,74.0,0.2,8.0,4.0,3.0,0,0
1660,2012-07-18,23.0,31.3,25.9,82.0,0.0,6.3,4.0,3.0,0,0
1661,2012-07-19,21.0,32.6,25.4,80.0,0.0,7.2,4.0,3.0,0,0
1662,2012-07-20,23.0,32.0,26.2,84.0,0.0,4.1,3.0,2.0,0,0
1663,2012-07-21,22.0,32.5,26.2,82.0,0.0,6.3,4.0,2.0,0,0
1664,2012-07-22,22.0,34.0,26.1,78.0,0.0,7.7,4.0,2.0,0,0
1665,2012-07-23,21.0,32.2,25.7,76.0,0.0,7.3,3.0,2.0,0,0
1666,2012-07-24,20.0,32.3,25.5,72.0,0.0,8.0,2.0,3.0,0,0
1667,2012-07-25,21.0,33.0,26.0,73.0,0.0,8.0,3.0,3.0,0,0
1668,2012-07-26,21.0,32.8,26.0,76.0,0.0,5.9,3.0,2.0,0,0
1669,2012-07-27,19.0,32.7,25.3,78.0,0.0,7.4,3.0,2.0,0,0
1670,2012-07-28,21.0,32.5,25.9,78.0,0.0,7.9,4.0,2.0,0,0
1671,2012-07-29,22.0,33.0,26.5,71.0,0.0,7.2,4.0,3.0,0,0
1672,2012-07-30,22.0,33.0,26.5,70.0,0.0,7.3,4.0,2.0,0,0
1673,2012-07-31,22.0,32.6,25.6,74.0,0.0,8.0,4.0,3.0,0,0
1674,2012-08-01,21.0,32.6,25.0,80.0,0.0,7.0,4.0,3.0,0,0
1675,2012-08-02,21.0,32.2,25.2,72.0,1.3,6.6,3.0,3.0,0,0
1676,2012-08-03,20.0,32.5,25.5,70.0,0.0,8.0,3.0,3.0,0,0
1677,2012-08-04,21.0,33.4,26.1,70.0,0.0,7.7,5.0,2.0,0,0
1678,2012-08-05,21.0,34.6,26.3,73.0,0.0,7.2,3.0,3.0,0,0
1679,2012-08-06,22.0,33.6,25.3,83.0,0.0,6.2,3.0,3.0,0,0
1680,2012-08-07,23.0,33.4,24.8,84.0,8.9,7.1,5.0,2.0,0,0
1681,2012-08-08,21.0,32.6,25.4,77.0,58.2,7.7,3.0,3.0,0,0
1682,2012-08-09,21.0,32.2,25.5,71.0,0.0,7.7,5.0,2.0,0,0
1683,2012-08-10,20.0,33.4,25.2,74.0,0.0,8.0,4.0,3.0,0,0
1684,2012-08-11,21.0,32.7,25.5,78.0,0.0,7.7,4.0,3.0,0,0
1685,2012-08-12,23.0,33.8,25.7,81.0,0.0,7.2,4.0,2.0,0,0
1686,2012-08-13,21.0,33.0,25.6,81.0,7.0,7.9,3.0,3.0,0,0
1687,2012-08-14,22.0,33.4,26.5,72.0,0.0,7.6,3.0,2.0,0,0
1688,2012-08-15,20.0,33.0,25.6,65.0,0.0,8.0,3.0,3.0,0,0
1689,2012-08-16,21.0,32.6,25.4,72.0,0.0,8.0,3.0,2.0,0,0
1690,2012-08-17,21.0,33.5,25.7,65.0,0.0,7.9,3.0,3.0,0,0
1691,2012-08-18,20.0,32.8,25.1,79.0,0.0,7.8,3.0,2.0,0,0
1692,2012-08-19,23.0,33.8,27.8,71.0,0.0,7.6,3.0,2.0,0,0
1693,2012-08-20,23.0,33.6,25.9,78.0,0.0,7.9,4.0,3.0,0,0
1694,2012-08-21,20.0,33.0,25.2,76.0,0.0,7.8,3.0,2.0,0,0
1695,2012-08-22,22.0,33.2,26.0,74.0,0.0,7.8,3.0,3.0,0,0
1696,2012-08-23,23.0,33.6,26.6,70.0,0.0,7.8,5.0,3.0,0,0
1697,2012-08-24,22.0,33.5,26.5,69.0,0.0,6.8,4.0,2.0,0,0
1698,2012-08-25,21.0,33.4,26.0,67.0,0.0,7.9,4.0,3.0,0,0
1699,2012-08-26,21.0,34.0,26.3,68.0,0.0,6.9,3.0,2.0,0,0
1700,2012-08-27,21.0,31.6,25.8,73.0,0.0,1.2,4.0,3.0,0,0
1701,2012-08-28,23.0,33.0,27.0,72.0,0.0,3.6,4.0,2.0,0,0
1702,2012-08-29,23.0,32.6,27.1,71.0,0.0,4.4,4.0,2.0,0,0
1703,2012-08-30,22.0,32.9,26.3,74.0,3.9,7.6,4.0,3.0,0,0
1704,2012-08-31,21.0,33.2,24.4,82.0,0.0,6.9,3.0,2.0,0,0
1705,2012-09-01,20.0,33.3,25.1,75.0,9.6,8.0,5.0,2.0,0,0
1706,2012-09-02,19.0,33.4,25.1,71.0,0.0,8.0,5.0,3.0,0,0
1707,2012-09-03,20.0,33.0,25.7,74.0,0.0,8.0,3.0,2.0,0,0
1708,2012-09-04,20.0,33.4,25.4,73.0,0.0,8.0,4.0,3.0,0,0
1709,2012-09-05,21.0,33.7,25.4,76.0,0.0,8.0,4.0,2.0,0,0
1710,2012-09-06,21.0,33.8,26.2,72.0,0.0,7.9,3.0,3.0,0,0
1711,2012-09-07,22.0,33.2,26.1,73.0,0.0,7.7,4.0,3.0,0,0
1712,2012-09-08,23.0,33.8,27.0,71.0,0.0,8.0,4.0,2.0,0,0
1713,2012-09-09,22.0,34.8,26.1,76.0,0.0,7.5,7.0,3.0,0,0
1714,2012-09-10,22.0,34.6,25.4,80.0,0.0,7.2,10.0,3.0,0,0
1715,2012-09-11,20.0,33.8,24.5,84.0,17.5,7.7,8.0,2.0,0,0
1716,2012-09-12,19.0,34.4,24.9,71.0,57.5,8.0,3.0,2.0,0,0
1717,2012-09-13,21.0,33.4,25.9,72.0,0.0,7.9,3.0,2.0,0,0
1718,2012-09-14,21.0,33.4,26.4,73.0,0.0,8.0,3.0,2.0,0,0
1719,2012-09-15,22.0,34.0,26.1,74.0,0.0,7.4,8.0,3.0,0,0
1720,2012-09-16,22.0,34.0,26.9,74.0,0.0,6.0,4.0,3.0,0,0
1721,2012-09-17,21.0,33.4,25.2,82.0,0.0,5.8,5.0,2.0,0,0
1722,2012-09-18,23.0,34.4,27.3,75.0,30.5,7.8,3.0,3.0,0,0
1723,2012-09-19,22.0,33.2,26.2,78.0,0.0,7.0,3.0,3.0,0,0
1724,2012-09-20,23.0,33.2,26.6,81.0,4.3,5.2,3.0,2.0,0,0
1725,2012-09-21,23.0,32.6,26.0,84.0,48.0,4.2,4.0,2.0,0,0
1726,2012-09-22,19.0,33.4,25.3,75.0,31.4,8.0,3.0,2.0,0,0
1727,2012-09-23,23.0,34.0,26.8,78.0,0.2,6.9,5.0,2.0,0,0
1728,2012-09-24,23.0,33.6,26.5,80.0,12.5,7.7,4.0,3.0,0,0
1729,2012-09-25,23.0,33.6,26.0,78.0,1.0,6.5,3.0,3.0,0,0
1730,2012-09-26,22.0,33.6,26.4,79.0,9.6,7.3,4.0,2.0,0,0
1731,2012-09-27,22.0,33.3,25.8,82.0,47.1,4.7,3.0,2.0,0,0
1732,2012-09-28,21.0,33.7,25.7,75.0,0.0,7.6,3.0,2.0,0,0
1733,2012-09-29,22.0,33.8,25.9,75.0,0.0,7.9,3.0,3.0,0,0
1734,2012-09-30,22.0,34.0,26.9,75.0,1.3,8.0,4.0,3.0,0,0
1735,2012-10-01,23.0,34.4,26.7,80.0,0.0,7.8,3.0,2.0,0,1
1736,2012-10-02,24.0,32.6,26.3,85.0,10.1,2.7,3.0,2.0,0,1
1737,2012-10-03,23.0,34.8,25.9,83.0,4.0,7.5,6.0,2.0,0,1
1738,2012-10-04,22.0,33.6,25.0,80.0,31.7,7.0,4.0,2.0,0,1
1739,2012-10-05,22.0,31.6,25.1,88.0,46.7,6.6,3.0,2.0,0,1
1740,2012-10-06,22.0,32.6,25.1,87.0,6.2,6.5,3.0,3.0,0,1
1741,2012-10-07,22.0,32.5,26.1,78.0,56.5,5.8,5.0,3.0,0,1
1742,2012-10-08,23.0,33.0,26.6,77.0,2.2,6.7,3.0,3.0,0,1
1743,2012-10-09,22.0,32.8,25.4,85.0,44.300000000000004,6.1,5.0,3.0,0,1
1744,2012-10-10,22.0,34.5,26.7,81.0,86.4,8.0,3.0,2.0,0,1
1745,2012-10-11,22.0,34.4,26.0,83.0,48.0,7.9,4.0,3.0,0,1
1746,2012-10-12,23.0,32.2,26.5,83.0,20.3,7.7,5.0,2.0,0,1
1747,2012-10-13,22.0,33.5,26.7,74.0,0.0,7.0,4.0,3.0,0,1
1748,2012-10-14,23.0,34.0,26.8,77.0,0.0,8.0,7.0,3.0,0,1
1749,2012-10-15,22.0,33.6,26.2,80.0,0.1,4.9,3.0,3.0,0,1
1750,2012-10-16,23.0,33.7,26.4,78.0,40.3,7.8,6.0,2.0,0,1
1751,2012-10-17,22.0,33.4,26.3,81.0,0.0,4.8,5.0,2.0,0,1
1752,2012-10-18,22.0,33.2,26.8,78.0,29.5,6.4,5.0,3.0,0,1
1753,2012-10-19,23.0,32.6,26.3,84.0,32.4,5.2,5.0,3.0,0,1
1754,2012-10-20,23.0,31.0,26.5,82.0,0.2,1.9,4.0,2.0,0,1
1755,2012-10-21,22.0,32.8,25.0,87.0,0.0,5.1,8.0,2.0,0,1
1756,2012-10-22,22.0,33.4,26.4,81.0,55.6,7.3,5.0,2.0,0,1
1757,2012-10-23,21.0,35.4,26.8,72.0,0.7,8.0,0.0,3.0,0,1
1758,2012-10-24,21.0,33.6,26.7,74.0,0.0,6.9,2.0,2.0,0,1
1759,2012-10-25,24.0,33.0,27.4,75.0,0.3,6.7,5.0,3.0,0,1
1760,2012-10-26,24.0,32.6,27.3,80.0,0.0,6.8,4.0,3.0,0,1
1761,2012-10-27,23.0,31.0,25.2,91.0,35.0,1.5,5.0,3.0,0,1
1762,2012-10-28,23.0,31.6,27.4,78.0,0.0,3.8,3.0,2.0,0,1
1763,2012-10-29,24.0,32.8,26.4,82.0,13.1,6.1,3.0,2.0,0,1
1764,2012-10-30,21.0,32.2,26.9,82.0,26.2,4.1,5.0,3.0,0,1
1765,2012-10-31,23.0,33.2,26.1,86.0,7.1,6.9,2.0,2.0,0,1
1766,2012-11-01,22.0,33.4,26.6,78.0,30.7,8.0,3.0,2.0,0,1
1767,2012-11-02,23.0,33.4,26.5,84.0,0.0,5.0,3.0,2.0,0,1
1768,2012-11-03,23.0,29.8,25.6,90.0,1.1,1.4,2.0,0.0,0,1
1769,2012-11-04,23.0,31.7,24.9,91.0,3.8,4.4,2.0,1.0,0,1
1770,2012-11-05,23.0,31.4,26.6,84.0,1.7,2.9,3.0,2.0,0,1
1771,2012-11-06,22.0,31.0,25.4,88.0,71.0,2.1,5.0,2.0,0,1
1772,2012-11-07,22.0,32.2,25.1,86.0,3.5,6.3,4.0,2.0,0,1
1773,2012-11-08,22.0,32.5,26.6,81.0,48.6,8.0,5.0,2.0,0,1
1774,2012-11-09,24.0,32.2,26.4,86.0,27.4,3.9,9.0,3.0,0,1
1775,2012-11-10,22.0,33.5,26.3,86.0,22.1,5.6,4.0,2.0,0,1
1776,2012-11-11,23.0,33.0,26.6,84.0,47.5,7.0,4.0,2.0,0,1
1777,2012-11-12,23.0,31.8,26.7,84.0,10.6,3.0,3.0,2.0,0,1
1778,2012-11-13,23.0,32.0,26.5,85.0,13.2,4.1,5.0,2.0,0,1
1779,2012-11-14,24.0,31.0,25.1,90.0,1.0,2.0,3.0,2.0,0,1
1780,2012-11-15,24.0,33.1,27.2,35.0,0.3,5.2,0.0,2.0,0,1
1781,2012-11-16,24.0,32.9,26.0,86.0,0.0,5.1,4.0,2.0,0,1
1782,2012-11-17,24.0,33.1,26.2,83.0,3.8,6.1,4.0,1.0,0,1
1783,2012-11-18,22.0,29.8,23.7,98.0,23.1,1.9,3.0,3.0,0,1
1784,2012-11-19,22.0,30.6,24.9,88.0,61.7,2.6,3.0,2.0,0,1
1785,2012-11-20,23.0,30.9,25.6,87.0,3.4,0.2,0.0,2.0,0,1
1786,2012-11-21,23.0,32.5,25.4,86.0,15.9,6.0,4.0,1.0,0,1
1787,2012-11-22,22.0,31.8,26.3,86.0,28.4,4.8,4.0,2.0,0,1
1788,2012-11-23,22.0,32.2,25.4,85.0,4.0,5.0,3.0,2.0,0,1
1789,2012-11-24,23.0,31.4,24.5,90.0,37.3,4.8,5.0,2.0,0,1
1790,2012-11-25,22.0,31.5,25.5,88.0,28.5,5.1,5.0,3.0,0,1
1791,2012-11-26,23.0,30.2,25.8,87.0,24.9,5.2,8.0,3.0,0,1
1792,2012-11-27,23.0,32.3,25.6,85.0,0.0,5.7,4.0,2.0,0,1
1793,2012-11-28,22.0,32.3,26.0,82.0,33.7,6.5,3.0,2.0,0,1
1794,2012-11-29,23.0,32.1,26.2,84.0,3.4,5.9,3.0,2.0,0,1
1795,2012-11-30,23.0,32.4,26.4,85.0,14.2,5.3,3.0,2.0,0,1
1796,2012-12-01,22.0,32.2,27.1,80.0,76.7,7.1,4.0,2.0,0,1
1797,2012-12-02,24.0,32.2,26.7,87.0,0.0,5.8,5.0,3.0,0,1
1798,2012-12-03,23.0,32.4,27.2,80.0,2.5,4.1,3.0,2.0,0,1
1799,2012-12-04,23.0,30.5,25.8,88.0,0.0,1.4,3.0,2.0,0,1
1800,2012-12-05,23.0,33.0,27.1,78.0,24.6,1.3,3.0,2.0,0,1
1801,2012-12-06,23.0,32.5,26.5,82.0,0.0,4.5,3.0,3.0,0,1
1802,2012-12-07,22.0,31.8,26.3,83.0,2.1,7.3,5.0,2.0,0,1
1803,2012-12-08,24.0,31.4,25.8,86.0,21.0,5.0,5.0,3.0,0,1
1804,2012-12-09,22.0,32.6,26.9,80.0,28.0,6.3,2.0,3.0,0,1
1805,2012-12-10,23.0,32.8,25.9,89.0,11.5,5.0,3.0,2.0,0,1
1806,2012-12-11,23.0,30.6,26.6,83.0,1.0,3.6,4.0,2.0,0,1
1807,2012-12-12,24.0,31.2,25.9,88.0,0.2,3.8,4.0,2.0,0,1
1808,2012-12-13,23.0,31.5,26.1,86.0,3.3,2.2,4.0,2.0,0,1
1809,2012-12-14,24.0,30.0,25.2,89.0,7.15,1.9,5.0,2.0,0,1
1810,2012-12-15,23.0,31.9,26.0,84.0,11.0,6.6,0.0,2.0,0,1
1811,2012-12-16,24.0,31.4,25.1,88.0,5.65,1.8,5.0,2.0,0,1
1812,2012-12-17,23.0,31.1,25.6,85.0,0.3,2.2,4.0,2.0,0,1
1813,2012-12-18,23.0,31.1,25.7,86.0,33.6,1.8,3.0,2.0,0,1
1814,2012-12-19,22.0,32.5,26.7,78.0,26.5,6.2,3.0,2.0,0,1
1815,2012-12-20,23.0,33.0,25.6,84.0,0.5,6.0,5.0,2.0,0,1
1816,2012-12-21,22.0,30.5,24.9,89.0,31.1,3.3,3.0,2.0,0,1
1817,2012-12-22,23.0,31.2,25.4,88.0,5.6,3.7,3.0,2.0,0,1
1818,2012-12-23,22.0,31.7,25.2,88.0,28.5,5.7,4.0,2.0,0,1
1819,2012-12-24,21.0,30.8,25.3,86.0,24.3,5.0,3.0,2.0,0,1
1820,2012-12-25,23.0,31.1,24.8,93.0,2.4,3.4,5.0,2.0,0,1
1821,2012-12-26,23.0,30.2,25.8,88.0,13.0,1.4,5.0,2.0,0,1
1822,2012-12-27,24.0,31.5,26.1,88.0,0.0,2.1,4.0,2.0,0,1
1823,2012-12-28,24.0,30.1,26.1,85.0,7.1,2.1,3.0,2.0,0,1
1824,2012-12-29,23.0,31.2,26.3,86.0,3.8,3.6,3.0,2.0,0,1
1825,2012-12-30,23.0,30.8,26.1,84.0,0.0,6.0,4.0,2.0,0,1
1826,2012-12-31,23.0,30.5,25.3,86.0,0.2,2.0,3.0,3.0,0,1
1827,2013-01-01,23.0,31.6,26.2,84.0,3.8,5.4,4.0,2.0,0,1
1828,2013-01-02,24.0,30.5,26.2,84.0,0.9,1.7,3.0,2.0,0,1
1829,2013-01-03,24.0,31.2,26.4,84.0,0.4,3.3,6.0,2.0,0,1
1830,2013-01-04,23.0,29.2,24.2,94.0,7.5,0.4,6.0,2.0,0,1
1831,2013-01-05,23.0,29.4,25.5,87.0,32.1,2.5,7.0,2.0,0,1
1832,2013-01-06,23.0,27.4,24.5,90.0,27.5,0.0,5.0,3.0,0,1
